Reference, Quantity, Value, Footprint, Datasheet
GR1 GR4 GR5 GR6 ,4,"dial","panel:dial2",""
GR2 ,1,"Logo_Open_Hardware_Small","Symbol:OSHW-Logo_5.7x6mm_SilkScreen",""
GR3 ,1,"bamboo","panel:vib",""
GR7 ,1,"face","panel:small_face",""
H1 H2 H3 H4 ,4,"MountingHole_Pad","panel:MountingHole_3.2mm_M3_SmPad",""
H15 H29 H30 H31 ,4,"MountingHole","panel:adafruit_rotary8",""
H16 H22 H23 H24 H25 ,5,"MountingHole","panel:3mmLED",""
H26 ,1,"Adj 2","panel:Potentiometer_Bourns_PTV09A-1_Single_Vertical",""
H27 ,1,"Adj 3","panel:Potentiometer_Bourns_PTV09A-1_Single_Vertical",""
H28 ,1,"Adj 4","panel:Potentiometer_Bourns_PTV09A-1_Single_Vertical",""
H32 H33 H34 H35 ,4,"MountingHole","panel:tog_spst",""
H5 ,1,"Adj 1","panel:Potentiometer_Bourns_PTV09A-1_Single_Vertical",""
H6 ,1,"Clk In","panel:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",""
H7 ,1,"VCO Out","panel:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",""
H8 H9 H10 H11 H12 H13 H14 H21 ,8,"MountingHole","panel:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",""